rel_path,vendor,hw_platform,profile,default_topo
device/celestica/x86_64-cel_silverstone_v2-r0/Silverstone_v2/buffers.json.j2,celestica,x86_64-cel_silverstone_v2-r0,Silverstone_v2,t1
device/celestica/x86_64-cel_silverstone_v2-r0/Silverstone_v2_128X100G/buffers.json.j2,celestica,x86_64-cel_silverstone_v2-r0,Silverstone_v2_128X100G,t1
device/centec/arm64-centec_e530_24x2c-r0/E530-24x2c/buffers.json.j2,centec,arm64-centec_e530_24x2c-r0,E530-24x2c,NOT_FOUND
device/centec/arm64-centec_e530_24x2q-r0/E530-24x2q/buffers.json.j2,centec,arm64-centec_e530_24x2q-r0,E530-24x2q,NOT_FOUND
device/centec/arm64-centec_e530_48s4x-r0/E530-48s4x/buffers.json.j2,centec,arm64-centec_e530_48s4x-r0,E530-48s4x,NOT_FOUND
device/centec/arm64-centec_e530_48t4x_p-r0/E530-48t4x-p/buffers.json.j2,centec,arm64-centec_e530_48t4x_p-r0,E530-48t4x-p,NOT_FOUND
device/centec/x86_64-centec_e582_48x2q4z-r0/E582-48x2q4z/buffers.json.j2,centec,x86_64-centec_e582_48x2q4z-r0,E582-48x2q4z,NOT_FOUND
device/centec/x86_64-centec_e582_48x6q-r0/E582-48x6q/buffers.json.j2,centec,x86_64-centec_e582_48x6q-r0,E582-48x6q,NOT_FOUND
device/centec/x86_64-centec_v682_48x8c-r0/V682-48x8c/buffers.json.j2,centec,x86_64-centec_v682_48x8c-r0,V682-48x8c,NOT_FOUND
device/centec/x86_64-centec_v682_48y8c-r0/V682-48y8c/buffers.json.j2,centec,x86_64-centec_v682_48y8c-r0,V682-48y8c,NOT_FOUND
device/centec/x86_64-centec_v682_48y8c_d-r0/V682-48y8c-d/buffers.json.j2,centec,x86_64-centec_v682_48y8c_d-r0,V682-48y8c-d,NOT_FOUND
device/centec/x86_64-ew_es6220_x48q2h4-r0/ES6428A-X48Q2H4/buffers.json.j2,centec,x86_64-ew_es6220_x48q2h4-r0,ES6428A-X48Q2H4,NOT_FOUND
device/cig/x86_64-cig_cs5435_54p-r0/Cig-CS5435-54P/buffers.json.j2,cig,x86_64-cig_cs5435_54p-r0,Cig-CS5435-54P,NOT_FOUND
device/cig/x86_64-cig_cs6436_54p-r0/Cig-CS6436-54P/buffers.json.j2,cig,x86_64-cig_cs6436_54p-r0,Cig-CS6436-54P,NOT_FOUND
device/cig/x86_64-cig_cs6436_56p-r0/Cig-CS6436-56P/buffers.json.j2,cig,x86_64-cig_cs6436_56p-r0,Cig-CS6436-56P,NOT_FOUND
device/dell/x86_64-dell_e3224f-r0/Dell-E3224F/buffers.json.j2,dell,x86_64-dell_e3224f-r0,Dell-E3224F,t0
device/dell/x86_64-dell_s3248t-r0/DELL-S3248T/buffers.json.j2,dell,x86_64-dell_s3248t-r0,DELL-S3248T,t0
device/dell/x86_64-dell_s6000_s1220-r0/Force10-S6000-Q20S48/buffers.json.j2,dell,x86_64-dell_s6000_s1220-r0,Force10-S6000-Q20S48,t0
device/dell/x86_64-dell_s6000_s1220-r0/Force10-S6000-Q24S32/buffers.json.j2,dell,x86_64-dell_s6000_s1220-r0,Force10-S6000-Q24S32,t1
device/dell/x86_64-dell_s6000_s1220-r0/Force10-S6000-Q28S16/buffers.json.j2,dell,x86_64-dell_s6000_s1220-r0,Force10-S6000-Q28S16,t0
device/dell/x86_64-dell_s6000_s1220-r0/Force10-S6000/buffers.json.j2,dell,x86_64-dell_s6000_s1220-r0,Force10-S6000,t1
device/dell/x86_64-dell_s6100_c2538-r0/Force10-S6100/buffers.json.j2,dell,x86_64-dell_s6100_c2538-r0,Force10-S6100,t0
device/dell/x86_64-dell_z9100_c2538-r0/Force10-Z9100-C32/buffers.json.j2,dell,x86_64-dell_z9100_c2538-r0,Force10-Z9100-C32,t1
device/dell/x86_64-dell_z9100_c2538-r0/Force10-Z9100-C8D48/buffers.json.j2,dell,x86_64-dell_z9100_c2538-r0,Force10-Z9100-C8D48,t0
device/dell/x86_64-dell_z9100_c2538-r0/Force10-Z9100/buffers.json.j2,dell,x86_64-dell_z9100_c2538-r0,Force10-Z9100,t1
device/dell/x86_64-dell_z9664f-r0/DellEMC-Z9664f-O64/buffers.json.j2,dell,x86_64-dell_z9664f-r0,DellEMC-Z9664f-O64,t1
device/dell/x86_64-dell_z9864f-r0/Dell-Z9864f-O64/buffers.json.j2,dell,x86_64-dell_z9864f-r0,Dell-Z9864f-O64,t1
device/dell/x86_64-dellemc_n3248pxe_c3338-r0/DELLEMC-N3248PXE/buffers.json.j2,dell,x86_64-dellemc_n3248pxe_c3338-r0,DELLEMC-N3248PXE,t0
